model_name,mse,recall_score,model_type,dataset_range
light_all_gbm,2.2187622569127835e-05,1.0,GBM,all
light_all_drf,0.1794592576627377,1.0,DRF,all
light_2std_gbm,2.2187622569127835e-05,1.0,GBM,2-std
light_2std_drf,0.1794592576627377,1.0,DRF,2-std
alc_free_all_gbm,1.1079106525080873,0.6666666666666666,GBM,all
alc_free_all_drf,1.4519466559853824,0.6666666666666666,DRF,all
beer_all_drf,4.084903393650056,0.43478260869565216,DRF,all
regular_all_gbm,4.889677112147383,0.42105263157894735,GBM,all
regular_all_drf,4.527368450945649,0.42105263157894735,DRF,all
beer_all_gbm,4.144005652278487,0.391304347826087,GBM,all
beer_2std_drf,2.6212856225690935,0.25,DRF,2-std
regular_2std_gbm,3.0791631751871287,0.18181818181818182,GBM,2-std
regular_2std_drf,3.0144582579048533,0.18181818181818182,DRF,2-std
beer_2std_gbm,2.4993380966110896,0.16666666666666666,GBM,2-std
alc_free_2std_gbm,0.7941619725843323,,GBM,2-std
alc_free_2std_drf,1.1186275777361123,,DRF,2-std
